term	df	idf
peapods	2	7.945555
pear	28	5.306498
pearl	24	5.460649
pearled	1	8.638703
pearls	2	7.945555
pears	36	5.055184
peas	245	3.137444
peasant	2	7.945555
peasy	4	7.252408
pebble	1	8.638703
pebre	2	7.945555
pecan	64	4.479820
pecans	269	3.043991
pecorino	17	5.805489
pectin	13	6.073753
pedestal	1	8.638703
pedro	1	8.638703
peek	1	8.638703
peeking	3	7.540090
peel	330	2.839610
peele	1	8.638703
peeled	599	2.243441
peeler	15	5.930652
peeling	7	6.692792
peels	3	7.540090
pefer	1	8.638703
peg	1	8.638703
pegw	1	8.638703
peices	3	7.540090
peking	1	8.638703
pencil	2	7.945555
pendery	1	8.638703
penetrate	2	7.945555
penetrates	1	8.638703
penne	43	4.877502
pennies	1	8.638703
pennsylvania	4	7.252408
penny	1	8.638703
pent	1	8.638703
penuche	1	8.638703
penzey	1	8.638703
people	14	5.999645
pepe	3	7.540090
peper	3	7.540090
peperivka	2	7.945555
pepin	1	8.638703
pepitas	5	7.029265
pepper	4025	0.338422
peppercons	1	8.638703
peppercorn	17	5.805489
peppercorns	62	4.511568
peppered	3	7.540090
pepperidge	7	6.692792
peppermint	27	5.342866
pepperoncini	3	7.540090
pepperoni	46	4.810061
peppers	394	2.662352
peppridge	1	8.638703
pequins	1	8.638703
per	190	3.391679
percent	7	6.692792
percentage	1	8.638703
perch	2	7.945555
perchance	1	8.638703
perfect	30	5.237505
perfection	1	8.638703
perfectly	11	6.240807
perforated	1	8.638703
perforations	9	6.441478
perform	2	7.945555
performed	1	8.638703
perhaps	3	7.540090
peri	1	8.638703
perimeter	3	7.540090
period	6	6.846943
periodically	8	6.559261
periods	2	7.945555
perishable	1	8.638703
permitting	1	8.638703
perogies	4	7.252408
perpendicular	1	8.638703
perrins	2	7.945555
perservere	1	8.638703
persian	2	7.945555
persimmon	6	6.846943
person	20	5.642970
personal	12	6.153796
personalize	1	8.638703
personally	3	7.540090
persons	1	8.638703
peru	1	8.638703
peruvian	6	6.846943
pescado	1	8.638703
pestle	14	5.999645
pesto	44	4.854513
pet	1	8.638703
peta	1	8.638703
petals	2	7.945555
pete	3	7.540090
petit	1	8.638703
petite	3	7.540090
petits	1	8.638703
petroleum	1	8.638703
pf	1	8.638703
phase	1	8.638703
pheasant	2	7.945555
pheasants	2	7.945555
phil	1	8.638703
philadelphia	9	6.441478
philadelphis	1	8.638703
philly	3	7.540090
phone	1	8.638703
photo	2	7.945555
php	1	8.638703
phyllo	21	5.594180
physics	1	8.638703
pibil	1	8.638703
picadillo	3	7.540090
picanha	2	7.945555
picanhas	1	8.638703
picante	17	5.805489
picarones	1	8.638703
piccalilly	1	8.638703
piccata	2	7.945555
pices	1	8.638703
pick	53	4.668411
picked	17	5.805489
pickin	1	8.638703
picking	1	8.638703
pickle	39	4.975141
pickled	22	5.547660
pickles	31	5.204715
pickling	17	5.805489
picks	6	6.846943
picky	1	8.638703
picnic	4	7.252408
pico	5	7.029265
picture	2	7.945555
pictured	1	8.638703
pictures	1	8.638703
pie	550	2.328784
piece	185	3.418347
pieces	863	1.878288
piecrust	4	7.252408
pieplate	1	8.638703
pierce	20	5.642970
pierced	21	5.594180
pierogi	8	6.559261
pierogies	8	6.559261
pierogis	1	8.638703
pierre	1	8.638703
pies	18	5.748331
pig	3	7.540090
pigeon	4	7.252408
pignoli	3	7.540090
pigs	3	7.540090
pika	1	8.638703
pikelet	1	8.638703
pikelets	2	7.945555
pilaf	6	6.846943
pile	20	5.642970
piles	1	8.638703
pill	1	8.638703
pillow	1	8.638703
pillsbury	19	5.694264
pimenta	2	7.945555
pimento	15	5.930652
pimenton	2	7.945555
pimentos	13	6.073753
pimiento	13	6.073753
pimientos	5	7.029265
pin	34	5.112342
pina	5	7.029265
pinaattikeitto	1	8.638703
pinch	335	2.824572
pinches	15	5.930652
pinching	8	6.559261
pine	49	4.746882
pineapple	270	3.040281
pineapples	4	7.252408
pineappple	1	8.638703
pinenuts	1	8.638703
ping	2	7.945555
pink	173	3.485411
pinkish	1	8.638703
pinkness	2	7.945555
pinks	1	8.638703
pinky	1	8.638703
pinot	2	7.945555
pint	77	4.294897
pinto	33	5.142195
pints	21	5.594180
pinwheel	1	8.638703
pinwheels	7	6.692792
pioneer	1	8.638703
pipe	31	5.204715
piped	2	7.945555
piperade	1	8.638703
piping	13	6.073753
pippin	1	8.638703
piquant	1	8.638703
piquillo	2	7.945555
piri	2	7.945555
pisco	3	7.540090
pishtachios	1	8.638703
pistachio	18	5.748331
pistachios	9	6.441478
pit	9	6.441478
pita	57	4.595651
pitas	6	6.846943
pitched	1	8.638703
pitcher	14	5.999645
pitfalls	1	8.638703
pith	9	6.441478
pits	7	6.692792
pitta	2	7.945555
pitted	61	4.527829
pittsburgh	2	7.945555
pizza	130	3.771168
pizzas	4	7.252408
pizzerias	1	8.638703
pkg	20	5.642970
pkge	1	8.638703
pkgs	2	7.945555
pla	4	7.252408
place	1941	1.067744
placed	16	5.866114
placemat	1	8.638703
placement	1	8.638703
placerville	1	8.638703
places	11	6.240807
placing	29	5.271407
placve	1	8.638703
plain	210	3.291595
plaki	1	8.638703
plan	7	6.692792
planet	2	7.945555
plank	2	7.945555
planning	1	8.638703
plant	2	7.945555
plantain	2	7.945555
plantains	2	7.945555
plantation	1	8.638703
plastic	264	3.062754
plate	352	2.775071
plated	3	7.540090
plates	73	4.348243
plating	1	8.638703
platter	159	3.569798
plauce	1	8.638703
pleace	1	8.638703
pleasant	1	8.638703
please	25	5.419827
pleased	1	8.638703
pleaser	1	8.638703
pleasing	1	8.638703
pleasure	2	7.945555
pleat	1	8.638703
plent	1	8.638703
plenty	20	5.642970
pliable	11	6.240807
ploff	2	7.945555
plomeek	1	8.638703
plop	1	8.638703
plops	1	8.638703
ploughman	1	8.638703
plov	1	8.638703
plu	1	8.638703
pluck	1	8.638703
plum	50	4.726680
plumb	1	8.638703
plump	5	7.029265
plums	15	5.930652
plunge	7	6.692792
plunged	1	8.638703
plus	162	3.551106
plz	1	8.638703
pm	2	7.945555
poach	13	6.073753
poached	10	6.336118
poaches	1	8.638703
poaching	4	7.252408
poblano	30	5.237505
poblanos	7	6.692792
pocket	9	6.441478
pockets	14	5.999645
pod	5	7.029265
podgy	2	7.945555
pods	32	5.172967
point	100	4.033532
pointed	5	7.029265
pointer	1	8.638703
pointing	1	8.638703
points	23	5.503208
pointy	1	8.638703
poires	1	8.638703
pois	2	7.945555
poke	29	5.271407
poked	5	7.029265
poking	2	7.945555
polaner	1	8.638703
polenta	38	5.001116
polish	11	6.240807
polishing	1	8.638703
pollo	10	6.336118
polo	1	8.638703
polpette	1	8.638703
polska	1	8.638703
poly	3	7.540090
polynesian	2	7.945555
polythene	1	8.638703
pom	1	8.638703
pomegranate	21	5.594180
pomegranates	2	7.945555
pomi	1	8.638703
pomidorowym	1	8.638703
pommes	1	8.638703
pomodoro	1	8.638703
pond	1	8.638703
pong	2	7.945555
poodle	1	8.638703
pool	2	7.945555
pooling	1	8.638703
poor	5	7.029265
poore	1	8.638703
pop	36	5.055184
popcorn	37	5.027785
popeye	2	7.945555
popeyes	1	8.638703
popover	1	8.638703
popovers	3	7.540090
popped	16	5.866114
popper	1	8.638703
poppers	2	7.945555
popping	10	6.336118
poppy	45	4.832040
poppyseed	2	7.945555
poppyseeds	3	7.540090
pops	2	7.945555
popsicle	3	7.540090
poquito	1	8.638703
por	1	8.638703
porcini	7	6.692792
porcupine	1	8.638703
porcupines	1	8.638703
pork	553	2.323345
porkchops	1	8.638703
porkloin	1	8.638703
porridge	10	6.336118
port	18	5.748331
portabella	29	5.271407
portabellas	4	7.252408
portable	2	7.945555
porterhouse	2	7.945555
portion	49	4.746882
portions	55	4.631369
portobella	1	8.638703
portobello	5	7.029265
portugal	1	8.638703
portuguese	11	6.240807
posh	1	8.638703
position	37	5.027785
positions	1	8.638703
posole	1	8.638703
possibilities	2	7.945555
possible	78	4.281994
possibly	1	8.638703
possum	1	8.638703
post	3	7.540090
posted	5	7.029265
postre	1	8.638703
pot	750	2.018629
potaot	1	8.638703
potassium	2	7.945555
potate	1	8.638703
potates	2	7.945555
potatis	1	8.638703
potato	418	2.603221
potatoe	2	7.945555
potatoes	856	1.886432
potatos	3	7.540090
potatoto	1	8.638703
potet	1	8.638703
potholder	1	8.638703
potholders	3	7.540090
potluck	1	8.638703
potlucks	2	7.945555
pots	1	8.638703
potsie	1	8.638703
potstickers	1	8.638703
potted	2	7.945555
potter	2	7.945555
pottery	1	8.638703
potting	1	8.638703
pou	1	8.638703
pouch	7	6.692792
pouches	1	8.638703
poultry	29	5.271407
pound	120	3.851211
poundcake	4	7.252408
pounded	11	6.240807
pounding	3	7.540090
pounds	42	4.901033
poupon	5	7.029265
pour	1657	1.225939
pourable	7	6.692792
poured	10	6.336118
pouring	20	5.642970
pous	1	8.638703
pousse	1	8.638703
pout	1	8.638703
poverty	1	8.638703
powdeed	1	8.638703
powder	1952	1.062093
powderd	1	8.638703
powdered	330	2.839610
powderly	1	8.638703
powders	6	6.846943
powdery	2	7.945555
power	25	5.419827
powered	3	7.540090
powerful	1	8.638703
powering	2	7.945555
pproximately	1	8.638703
practically	3	7.540090
practice	2	7.945555
praline	4	7.252408
pralines	3	7.540090
prawn	7	6.692792
prawns	30	5.237505
pray	1	8.638703
pre	93	4.106103
preaheat	1	8.638703
prebake	1	8.638703
prebaked	1	8.638703
precaution	1	8.638703
precautions	1	8.638703
precise	2	7.945555
precook	2	7.945555
precooked	9	6.441478
precooking	1	8.638703
precut	1	8.638703
pref	1	8.638703
prefer	105	3.984742
preferable	4	7.252408
preferably	67	4.434010
preferance	1	8.638703
prefere	1	8.638703
preference	30	5.237505
preferences	5	7.029265
preferrably	3	7.540090
preferred	29	5.271407
prefers	2	7.945555
preffered	1	8.638703
pregnant	1	8.638703
prego	3	7.540090
pregreased	1	8.638703
preheat	1253	1.505407
preheated	177	3.462553
preheating	2	7.945555
preheats	3	7.540090
premade	3	7.540090
premium	3	7.540090
prep	14	5.999645
preparation	12	6.153796
preparded	1	8.638703
prepare	262	3.070358
prepared	424	2.588969
preparing	19	5.694264
preparingthe	1	8.638703
preparted	1	8.638703
prepasre	1	8.638703
prepped	3	7.540090
prepping	2	7.945555
present	2	7.945555
presentation	11	6.240807
preserve	3	7.540090
preserved	4	7.252408
preserves	56	4.613351
preserving	1	8.638703
presliced	3	7.540090
press	275	3.021932
pressed	54	4.649719
pressing	49	4.746882
pressor	1	8.638703
pressure	38	5.001116
presto	1	8.638703
prethreaded	1	8.638703
prettiest	1	8.638703
prettles	1	8.638703
pretty	27	5.342866
pretzel	7	6.692792
pretzels	15	5.930652
prevent	86	4.184355
prevents	7	6.692792
previous	5	7.029265
previously	3	7.540090
prewarmed	1	8.638703
prewashed	2	7.945555
prianiki	1	8.638703
prick	30	5.237505
pricked	1	8.638703
pricking	1	8.638703
primal	1	8.638703
primanti	1	8.638703
primary	1	8.638703
primavera	4	7.252408
prime	6	6.846943
princesses	1	8.638703
print	1	8.638703
printing	1	8.638703
prior	12	6.153796
prize	1	8.638703
probably	18	5.748331
problem	5	7.029265
problems	1	8.638703
procedure	10	6.336118
proceed	11	6.240807
proceeding	4	7.252408
procees	1	8.638703
process	185	3.418347
processed	14	5.999645
processing	7	6.692792
processor	296	2.948343
processors	1	8.638703
prodded	1	8.638703
produce	9	6.441478
product	9	6.441478
professional	1	8.638703
program	2	7.945555
progresso	4	7.252408
prone	1	8.638703
pronged	1	8.638703
prongs	1	8.638703
pronounced	4	7.252408
proof	57	4.595651
proofed	2	7.945555
proofing	2	7.945555
proper	7	6.692792
properly	7	6.692792
proportions	1	8.638703
proposed	1	8.638703
propping	1	8.638703
prosciutto	21	5.594180
proscuitto	2	7.945555
prosecco	1	8.638703
protect	2	7.945555
protector	1	8.638703
protein	34	5.112342
proteins	1	8.638703
proud	1	8.638703
provence	8	6.559261
provides	1	8.638703
provincial	1	8.638703
provolone	30	5.237505
prudhomme	1	8.638703
prune	12	6.153796
prunes	7	6.692792
pry	2	7.945555
ps	2	7.945555
psito	1	8.638703
psomi	1	8.638703
psyllium	1	8.638703
pt	1	8.638703
pts	2	7.945555
pub	3	7.540090
puch	1	8.638703
pucks	1	8.638703
pudding	271	3.036584
puddings	3	7.540090
puddle	2	7.945555
puerco	1	8.638703
puff	47	4.788555
puffed	25	5.419827
puffing	1	8.638703
puffs	8	6.559261
puffy	15	5.930652
pukekohe	1	8.638703
pul	1	8.638703
pulao	2	7.945555
pulls	10	6.336118
pullsbury	1	8.638703
pulp	34	5.112342
pulqueros	1	8.638703
pulsating	1	8.638703
pulse	59	4.561165
pulsed	3	7.540090
pulses	5	7.029265
pulsing	11	6.240807
pulungari	1	8.638703
pulverize	1	8.638703
pulverized	1	8.638703
pum	1	8.638703
pumpernickel	3	7.540090
pumpkin	214	3.272727
pumpkins	2	7.945555
punch	71	4.376023
punched	1	8.638703
puncture	4	7.252408
pund	1	8.638703
pungent	2	7.945555
punnet	1	8.638703
puppy	1	8.638703
pupusa	1	8.638703
pupusas	2	7.945555
pur	18	5.748331
purchase	3	7.540090
purchased	4	7.252408
pure	64	4.479820
puree	189	3.396956
pureed	37	5.027785
purees	1	8.638703
purity	1	8.638703
purple	14	5.999645
purply	1	8.638703
purpose	549	2.330604
purposes	3	7.540090
purres	1	8.638703
push	35	5.083355
pushed	1	8.638703
pushing	5	7.029265
puts	3	7.540090
puttanesca	1	8.638703
putter	1	8.638703
pyramid	1	8.638703
pyrex	17	5.805489
qid	1	8.638703
qormeh	1	8.638703
qt	51	4.706877
qts	3	7.540090
quadruple	1	8.638703
quail	3	7.540090
quaker	2	7.945555
quality	37	5.027785
quantities	1	8.638703
quantity	10	6.336118
quantum	1	8.638703
quark	3	7.540090
quarkkuchen	1	8.638703
quarry	2	7.945555
quart	324	2.857959
quarter	46	4.810061
quartered	101	4.023582
quarterly	1	8.638703
quarters	66	4.449048
quarts	83	4.219862
quatered	1	8.638703
quatre	1	8.638703
qued	1	8.638703
queens	1	8.638703
quenelles	1	8.638703
query	1	8.638703
quesadilla	4	7.252408
quesadillas	10	6.336118
quesedillas	1	8.638703
queso	12	6.153796
question	1	8.638703
quiche	29	5.271407
quiches	3	7.540090
quick	146	3.655096
quicken	2	7.945555
quicker	3	7.540090
quickie	1	8.638703
quickly	104	3.994312
quicksoak	1	8.638703
quicky	1	8.638703
quinoa	20	5.642970
quite	44	4.854513
quot	3	7.540090
qut	1	8.638703
qwt	1	8.638703
rabe	3	7.540090
rabinovitch	1	8.638703
race	1	8.638703
rachael	8	6.559261
rack	445	2.540628
racks	88	4.161366
radicchio	4	7.252408
radish	16	5.866114
radishes	20	5.642970
ragged	1	8.638703
ragout	3	7.540090
ragu	5	7.029265
rainbow	1	8.638703
rainforest	1	8.638703
raisens	1	8.638703
raisin	48	4.767502
raisings	1	8.638703
raisins	204	3.320583
raisons	1	8.638703
raita	2	7.945555
raivas	2	7.945555
rajas	1	8.638703
rajma	1	8.638703
rake	1	8.638703
raki	1	8.638703
rakott	1	8.638703
ralph	1	8.638703
ralston	1	8.638703
ramaining	1	8.638703
ramano	1	8.638703
ramekin	9	6.441478
ramekins	30	5.237505
ramen	33	5.142195
ramsay	2	7.945555
ranch	63	4.495568
ranchera	1	8.638703
ranchero	1	8.638703
rancheros	1	8.638703
randal	2	7.945555
random	1	8.638703
randomly	1	8.638703
range	9	6.441478
ranger	1	8.638703
rangoon	3	7.540090
rap	1	8.638703
rapes	1	8.638703
rapid	10	6.336118
rapidly	15	5.930652
rapper	1	8.638703
rapture	1	8.638703
rare	34	5.112342
ras	2	7.945555
rasam	1	8.638703
raspberries	31	5.204715
raspberry	91	4.127843
rasting	1	8.638703
ratatouille	5	7.029265
rated	1	8.638703
rates	1	8.638703
rather	18	5.748331
ratio	1	8.638703
rava	1	8.638703
ravilois	1	8.638703
ravioli	26	5.380606
raviolis	2	7.945555
raw	121	3.842912
rawness	1	8.638703
ray	8	6.559261
rays	2	7.945555
razzleberry	1	8.638703
rcdc	1	8.638703
rd	1	8.638703
re	85	4.196051
reaches	47	4.788555
reactive	11	6.240807
reads	8	6.559261
ready	235	3.179117
real	49	4.746882
realemon	2	7.945555
reallemon	1	8.638703
really	83	4.219862
reamaining	1	8.638703
reaming	1	8.638703
reapply	1	8.638703
rearrange	1	8.638703
reaseasoning	1	8.638703
reason	6	6.846943
reasonably	5	7.029265
rebeat	1	8.638703
rebeating	1	8.638703
rebecca	1	8.638703
reccomend	1	8.638703
receipe	1	8.638703
recently	1	8.638703
recess	1	8.638703
recipe	281	3.000348
recipemay	1	8.638703
recipes	19	5.694264
recipezaar	1	8.638703
recipient	1	8.638703
recklessly	1	8.638703
recoat	2	7.945555
recognize	1	8.638703
recollection	1	8.638703
recomend	1	8.638703
recommend	18	5.748331
recommended	31	5.204715
recommends	1	8.638703
reconstitute	2	7.945555
reconstituted	3	7.540090
recover	5	7.029265
rectangle	46	4.810061
rectangles	14	5.999645
rectangular	17	5.805489
recut	1	8.638703
red	1134	1.605196
reddi	2	7.945555
reddish	1	8.638703
redfish	1	8.638703
redi	2	7.945555
redistribute	1	8.638703
redness	2	7.945555
reduce	566	2.300109
reduced	166	3.526715
reduces	10	6.336118
reducing	5	7.029265
reduction	3	7.540090
reduecs	1	8.638703
reef	1	8.638703
reese	2	7.945555
reference	1	8.638703
referigerate	1	8.638703
referring	1	8.638703
refill	3	7.540090
refirgerated	1	8.638703
reflect	1	8.638703
refreeze	1	8.638703
refresh	2	7.945555
refreshing	5	7.029265
refriderated	1	8.638703
refridgerate	8	6.559261
refridgerated	1	8.638703
refridgerator	6	6.846943
refried	42	4.901033
refrigator	1	8.638703
refrigerate	508	2.408221
refrigerated	120	3.851211
refrigerateor	1	8.638703
refrigerates	1	8.638703
refrigerating	3	7.540090
refrigeration	10	6.336118
refrigerator	265	3.058973
refrying	1	8.638703
reg	2	7.945555
regain	2	7.945555
reggiano	27	5.342866
regina	1	8.638703
register	2	7.945555
registers	28	5.306498
regrigerate	1	8.638703
regular	70	4.390207
regularly	8	6.559261
regulate	1	8.638703
regulator	1	8.638703
rehab	2	7.945555
reheat	54	4.649719
reheated	7	6.692792
reheating	3	7.540090
reheats	1	8.638703
rehydrate	1	8.638703
rehydrated	5	7.029265
reindeer	1	8.638703
reinette	1	8.638703
reinvert	1	8.638703
relatively	3	7.540090
relax	3	7.540090
release	43	4.877502
released	6	6.846943
releases	2	7.945555
reliable	1	8.638703
relief	1	8.638703
relish	39	4.975141
relleno	2	7.945555
rellenos	3	7.540090
reload	1	8.638703
rely	1	8.638703
remainder	29	5.271407
remainin	1	8.638703
remainng	1	8.638703
remains	16	5.866114
remake	1	8.638703
remaning	1	8.638703
remedy	1	8.638703
remekins	1	8.638703
remind	1	8.638703
remix	2	7.945555
remnant	1	8.638703
remo	1	8.638703
remoulade	1	8.638703
removable	5	7.029265
removal	4	7.252408
remove	1606	1.257201
removeable	1	8.638703
removed	137	3.718722
remover	3	7.540090
removes	3	7.540090
removing	85	4.196051
render	6	6.846943
rendered	5	7.029265
rendering	1	8.638703
renders	1	8.638703
rendition	1	8.638703
rennet	4	7.252408
repeat	227	3.213753
repeatedly	1	8.638703
repeating	1	8.638703
replace	26	5.380606
replacement	2	7.945555
replacer	4	7.252408
replaces	1	8.638703
replacing	3	7.540090
replenish	1	8.638703
replenished	1	8.638703
repulsive	1	8.638703
request	1	8.638703
reroll	2	7.945555
rerolled	1	8.638703
rerolling	2	7.945555
res	1	8.638703
reseal	2	7.945555
resealable	27	5.342866
research	1	8.638703
resemble	9	6.441478
resembles	41	4.925131
reser	1	8.638703
resers	1	8.638703
reservd	1	8.638703
reserve	135	3.733428
reserved	170	3.502904
reserving	75	4.321214
reshape	4	7.252408
reshaping	1	8.638703
residual	4	7.252408
residue	5	7.029265
resift	1	8.638703
resist	1	8.638703
resistance	7	6.692792
resistant	5	7.029265
respectively	1	8.638703
responsible	1	8.638703
rest	266	3.055206
restaurant	13	6.073753
restaurants	1	8.638703
resting	9	6.441478
restore	1	8.638703
result	4	7.252408
resulting	6	6.846943
results	18	5.748331
resume	1	8.638703
resumes	1	8.638703
resuming	1	8.638703
ret	1	8.638703
retain	9	6.441478
retaining	1	8.638703
retains	1	8.638703
retro	1	8.638703
return	317	2.879801
returned	3	7.540090
returning	3	7.540090
returns	5	7.029265
reuben	2	7.945555
reunion	1	8.638703
reuse	1	8.638703
revel	2	7.945555
reverse	3	7.540090
review	2	7.945555
reviewer	4	7.252408
reviews	1	8.638703
revive	1	8.638703
revolution	1	8.638703
reward	3	7.540090
rewarm	1	8.638703
rewarmed	1	8.638703
rewhisk	1	8.638703
rework	1	8.638703
rewrap	1	8.638703
rex	1	8.638703
reynolds	2	7.945555
rheinlander	1	8.638703
rhode	1	8.638703
rhubarb	50	4.726680
rhubard	1	8.638703
rib	50	4.726680
ribbed	1	8.638703
ribbing	1	8.638703
ribbon	6	6.846943
ribbons	9	6.441478
ribeye	1	8.638703
ribs	138	3.711449
rican	1	8.638703
riccota	1	8.638703
rice	1037	1.694615
riced	1	8.638703
ricer	4	7.252408
rices	1	8.638703
rich	34	5.112342
richer	6	6.846943
richness	1	8.638703
ricki	1	8.638703
ricotta	110	3.938222
rid	10	6.336118
ridged	2	7.945555
ridges	1	8.638703
rigate	2	7.945555
rigatoni	9	6.441478
riggati	1	8.638703
right	78	4.281994
rigid	1	8.638703
rillettes	2	7.945555
rim	37	5.027785
rimmed	27	5.342866
rims	5	7.029265
rince	1	8.638703
rind	119	3.859579
rindless	1	8.638703
rinds	2	7.945555
rindsgulasch	1	8.638703
ring	15	5.930652
rings	62	4.511568
rinse	192	3.381207
rinsed	166	3.526715
rinsing	4	7.252408
rio	3	7.540090
rip	5	7.029265
ripe	132	3.755901
ripen	2	7.945555
ripened	4	7.252408
ripping	1	8.638703
ripple	1	8.638703
ripples	1	8.638703
riprock	1	8.638703
rises	8	6.559261
rishia	1	8.638703
risk	2	7.945555
risotto	13	6.073753
riss	1	8.638703
rita	1	8.638703
ritz	30	5.237505
ritzy	1	8.638703
rival	2	7.945555
river	1	8.638703
ro	5	7.029265
road	1	8.638703
roadhouse	2	7.945555
roadside	2	7.945555
roast	261	3.074182
roasted	193	3.376012
roaster	15	5.930652
roasting	95	4.084826
roasts	2	7.945555
robin	3	7.540090
robot	1	8.638703
robust	1	8.638703
robyn	1	8.638703
rochester	1	8.638703
rock	3	7.540090
rockchalkchick	1	8.638703
rocket	3	7.540090
rockfish	2	7.945555
rocking	1	8.638703
rocks	4	7.252408
rocky	1	8.638703
roger	1	8.638703
rohlicky	1	8.638703
role	1	8.638703
roll	491	2.442258
rolled	87	4.172794
rolling	78	4.281994
rolls	163	3.544952
rolo	3	7.540090
rolos	2	7.945555
roma	28	5.306498
romaine	48	4.767502
roman	1	8.638703
romana	2	7.945555
romanian	1	8.638703
romano	45	4.832040
romas	1	8.638703
rome	2	7.945555
roni	1	8.638703
room	374	2.714447
rooms	1	8.638703
roomy	1	8.638703
root	34	5.112342
roots	2	7.945555
rope	7	6.692792
ropes	4	7.252408
rosebud	1	8.638703
rosebuds	1	8.638703
rosemary	209	3.296368
roses	1	8.638703
rosette	2	7.945555
rosettes	4	7.252408
rost	1	8.638703
rosti	2	7.945555
rosting	1	8.638703
rotal	1	8.638703
rotary	1	8.638703
rotate	14	5.999645
rotated	1	8.638703
rotates	1	8.638703
rotating	11	6.240807
